X,Y,Nr_Id,Specia,Diametru,Inaltime,Stare_Viab,Grad_Intre,Risc,Protejat,Data,Tip,Sp_Verde,Localitate,Strada,icon_url
24.2286915979776,45.6400566561001,"1",Arin,"11","5,2","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"79",Talmacel,,./0.png
24.2286955085771,45.6400837231847,"2",Arin,"8","5,1","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"79",Talmacel,,./0.png
24.228616945266,45.6402161406335,"3",Arin,"11","7,9","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"80",Talmacel,,./0.png
24.2286331072217,45.6401829501175,"4",Arin,"16","7,9","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"80",Talmacel,,./0.png
24.2287491876287,45.640203265679,"5",Arin,"20","9,2","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"79",Talmacel,,./0.png
24.2287264705926,45.6402459260982,"6",Salcie,"11","5,6","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"79",Talmacel,,./0.png
24.228642439093,45.6402829133115,"7",Arin,"9","4,3","4","2",Nu,Nu,26 iulie- 10 august,Foioasa,"80",Talmacel,,./0.png
24.2287093211378,45.6403249287271,"8",Corcodus,"14","6,4","4","1",Nu,Nu,26 iulie- 10 august,Pom,"79",Talmacel,,./1.png
24.2285341873247,45.6403380125661,"9",Arin,"15","6,8","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"81",Talmacel,,./0.png
24.2286762110414,45.6403965623458,"10",Arin,"15","9,2","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"80",Talmacel,,./0.png
24.2286851837466,45.6404189065751,"11",Arin,"9","3,4","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"80",Talmacel,,./0.png
24.2287734381864,45.6404122434129,"12",Salcam,"14","8,2","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"79",Talmacel,,./0.png
24.228765506154,45.6404958152393,"13",Arin,"12","4,1","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"80",Talmacel,,./0.png
24.2288049415771,45.6405351409499,"14",Arin,"10","6,1","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"80",Talmacel,,./0.png
24.2288627920688,45.6405072402372,"15",Salcam,"20","11,2","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"79",Talmacel,,./0.png
24.2289276584771,45.6406438839554,"16",Salcam,"15","8,5","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"79",Talmacel,,./0.png
24.2289405524154,45.6406925441818,"17",Salcam,"13","7,9","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"80",Talmacel,,./0.png
24.2288120787129,45.6406130561837,"18",Arin,"15","7,8","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"80",Talmacel,,./0.png
24.2288983981177,45.640539529459,"19",Arin,"16","8,3","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"79",Talmacel,,./0.png
24.2289086923793,45.6406214720783,"20",Arin,"22","9,6","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"79",Talmacel,,./0.png
24.2290493305937,45.6407248280302,"21",Nuc,"23","8","4","1",Nu,Da,26 iulie- 10 august,Pom,"80",Talmacel,,./1.png
24.2289851493844,45.6406680589285,"22",Salcie,"19","10,3","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"79",Talmacel,,./0.png
24.229064300141,45.6406842537267,"23",Salcam,"23","7,8","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"79",Talmacel,,./0.png
24.2291512287177,45.6407123731088,"24",Salcam,"11","7,3","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"79",Talmacel,,./0.png
24.2291782762801,45.6407441035552,"25",Salcam,"13","9,3","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"79",Talmacel,,./0.png
24.2292226170855,45.6407641833805,"26",Salcam,"13","8,6","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"79",Talmacel,,./0.png
24.2291885791478,45.6407995063618,"27",Arin,"18","3,4","3","1",Nu,Nu,26 iulie- 10 august,Foioasa,"80",Talmacel,,./0.png
24.2293039770005,45.6408436024384,"28",Arin,"14","7,5","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"80",Talmacel,,./0.png
24.2293624460197,45.6408745439872,"29",Arin,"14","8,5","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"80",Talmacel,,./0.png
24.2294187108133,45.640837759874,"30",Plop,"11","5,4","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"79",Talmacel,,./0.png
24.2296174257165,45.6408912917805,"31",Corcodus,"21","6","3","1",Nu,Nu,26 iulie- 10 august,Pom,"79",Talmacel,,./1.png
24.2294538881298,45.6408571226468,"32",Corcodus,"19","6,5","3","1",Nu,Nu,26 iulie- 10 august,Pom,"79",Talmacel,,./1.png
24.2294955619908,45.6409280236778,"33",Nuc,"48","10,7","3","1",Nu,Da,26 iulie- 10 august,Pom,"80",Talmacel,,./1.png
24.2295693224948,45.640988190963,"34",Arin,"15","7,6","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"80",Talmacel,,./0.png
24.2295881155171,45.6410342174793,"35",Salcie,"9","5,1","3","1",Nu,Nu,26 iulie- 10 august,Foioasa,"80",Talmacel,,./0.png
24.2297038737389,45.6410098153623,"36",Salcie,"12","6,5","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"79",Talmacel,,./0.png
24.2299878571761,45.6411560658772,"37",Arin,"21","10,5","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"76",Talmacel,,./0.png
24.2298814243686,45.6411867683188,"38",Corcodus,"23","8,7","4","1",Nu,Nu,26 iulie- 10 august,Pom,"78",Talmacel,,./1.png
24.2298914764013,45.6411306269196,"39",Corcodus,"21","8,7","4","1",Nu,Nu,26 iulie- 10 august,Pom,"77",Talmacel,,./1.png
24.2298544073732,45.6411008318784,"40",Corcodus,"19","7,3","4","1",Nu,Nu,26 iulie- 10 august,Pom,"77",Talmacel,,./1.png
24.2298225857866,45.6411567008558,"41",Tei,"27","8,4","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"78",Talmacel,,./0.png
24.2297938047536,45.6411212032038,"42",Tei,"23","7,5","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"78",Talmacel,,./0.png
24.2298051403784,45.6411711309571,"43",Pin,"9","5,2","4","1",Nu,Nu,26 iulie- 10 august,Conifer,"78",Talmacel,,./2.png
24.2298862843631,45.6411707771313,"44",Tuia,"8","4,6","4","1",Nu,Nu,26 iulie- 10 august,Ornamental,"78",Talmacel,,./3.png
24.2304784803211,45.6417660429527,"45",Mar,"32","7","3","1",Nu,Nu,26 iulie- 10 august,Pom,"75",Talmacel,,./1.png
24.2304448806314,45.6417174933657,"46",Nuc,"29","8,8","4","1",Nu,Da,26 iulie- 10 august,Pom,"75",Talmacel,,./1.png
24.2304226655923,45.6417496417209,"47",Nuc,"7,8","7,2","3","1",Nu,Da,26 iulie- 10 august,Pom,"75",Talmacel,,./1.png
24.2304471768002,45.6418361870218,"48",Nuc,"49","10,5","4","1",Nu,Da,26 iulie- 10 august,Pom,"75",Talmacel,,./1.png
24.2304117135582,45.6416634384238,"49",Arin,"24","12,2","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"75",Talmacel,,./0.png
